CountryCode,Year,StudentProtestCount,AllProtestCount
QA,2020,1,437
SF,2020,22,8200
TH,2020,1,4359
TS,2020,4,1530
UK,2020,8,27534
UP,2020,2,13476
US,2020,19,246280
VM,2020,2,1857
,2021,63,
AF,2021,2,7050
AS,2021,1,7677
BG,2021,19,3989
BM,2021,1,12669
BN,2021,3,904
CE,2021,1,1399
CH,2021,5,14696
FR,2021,6,15793
GR,2021,2,5606
IN,2021,21,34452
IR,2021,2,6537
IS,2021,1,30334
LI,2021,1,337
LO,2021,1,465
MX,2021,6,7772
NI,2021,23,11411
PK,2021,40,11205
PL,2021,1,5108
QA,2021,1,526
RP,2021,2,2394
SF,2021,72,11692
US,2021,7,124746
,2022,84,
BG,2022,65,1562
BM,2022,1,1696
BN,2022,2,310
CA,2022,6,8300
CH,2022,1,5823
EG,2022,1,1611
FR,2022,4,7405
GH,2022,1,871
GM,2022,5,5322
IN,2022,62,16704
IR,2022,2,3335
IT,2022,1,3322
MX,2022,3,4408
NI,2022,42,5069
PK,2022,13,6146
SF,2022,4,3520
UP,2022,1,23631
US,2022,20,54316
