"","Year","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio","selectedmodelpred","Ridge","Lasso","Mixed"
"154",2018,1,777,-0.7400823,-0.7272929,-0.4323802,-0.3782848,466.4554,0.00128700128700129,0.00611744803583861,0.00361393843626451,0.00461122313241471,0.00559047803823865
"157",2018,4,1640,-0.6708352,-0.8982426,-0.5617288,-0.4775418,1109.422,0.0024390243902439,0.00585762950949524,0.00353302872206723,0.00439476137032183,0.00534521184499603
"158",2018,3,3316,1.927847,1.850402,0.8542672,1.786829,44714.3,0.000904704463208685,0.00034508924386806,0.000423188129017201,0.000361217342965644,0.000350765032144377
"159",2018,8,12634,-1.08738,-0.8029793,-0.9523925,-1.057517,1727.631,0.00063321196770619,0.00176595069736379,0.0027243067525305,0.0020483644380556,0.00186707534542297
"164",2018,2,1099,0.7255781,0.6294053,0.6635707,0.7347725,49682.17,0.00181983621474067,0.000153525720058087,0.00039871866029487,0.000190501479521548,0.000166010087580318
"170",2018,50,170191,1.328869,1.575724,0.4214178,1.514515,53665.7,0.000293787568085269,0.000131395515651215,0.000281632237775999,0.000163067490060332,0.000141452546386311
"174",2019,1,10221,-0.6211485,-0.5163999,-1.044343,-0.8157083,3151.925,9.78377849525487e-05,0.0017521279154185,0.00253271697099657,0.00200887694223394,0.00184237880409017
"183",2019,1,6581,-0.2363339,0.0707119,-0.9495016,-0.4168378,5298.032,0.000151952590791673,0.0014717930925026,0.00210020725599431,0.00176201180494832,0.00156773534492014
"184",2019,1,118,-0.4902496,-0.6789486,-0.2745529,-0.5019525,2941.297,0.00847457627118644,0.00411233547819986,0.00330505300948753,0.00348136018429786,0.00391133558992014
"186",2019,1,896,2.1532,2.006594,0.8516567,2.058016,39680.48,0.00111607142857143,0.000732891789921606,0.000565380408311048,0.000644205671346445,0.000701380851009748
"188",2019,3,2166,-0.0980888,-0.2106433,0.1344119,0.0473358,1776.259,0.00138504155124654,0.00707967837999971,0.00361136001543594,0.00511407985564376,0.00637696533699153
"191",2019,4,14380,-1.336654,-1.336643,-2.603781,-1.722623,4553.573,0.000278164116828929,0.000685411879055587,0.00198677455281464,0.00102147980610268,0.00078620963015508
"198",2019,1,2002,0.2520592,0.9974676,0.1438768,0.5916137,8047.001,0.0004995004995005,0.00258465213944012,0.00208960623599573,0.00250433217170557,0.00256228798896278
"202",2019,3,2922,2.170174,1.670557,1.411302,1.885101,35407.29,0.00102669404517454,0.00126464338518888,0.000793076689097614,0.000989279138786356,0.00116692284346129
"209",2019,3,2369,-0.2891587,-0.1143393,-0.2176228,-0.0118801,3460.533,0.00126635711270578,0.00471535433881071,0.00305731181334781,0.00381701909757173,0.00440843442341056
"212",2019,1,18805,-0.7559236,-0.297047,-1.423576,-0.6982756,3238.332,5.31773464504121e-05,0.0015510406626858,0.00230004904459466,0.00185108480242305,0.00164982735834417
"217",2020,4,15867,-0.1682376,-0.7293182,-0.7303549,-0.9959167,5148.214,0.000252095544211256,0.00154380375326281,0.00257440957944135,0.00180543238478721,0.00163735537881587
"221",2020,3,9488,-1.283775,-1.32672,-2.528343,-1.753684,3222.077,0.000316188870151771,0.00076609629154739,0.00222746733233899,0.00113546277610088,0.000877300999266849
"223",2020,3,10851,-0.8476247,-0.1550609,-0.8500293,-0.670108,6267.608,0.000276472214542438,0.00122775948737313,0.0022620378389799,0.00155214830379465,0.00133388508339548
"224",2020,6,15934,-1.09688,-1.029475,-1.859349,-0.8124883,1730.381,0.000376553282289444,0.00333921713852029,0.00308252905185197,0.00299045169028152,0.00322300361199242
"226",2020,1,5657,0.6507944,0.3764992,0.5743839,0.5398862,13298.48,0.000176772140710624,0.00350812881136311,0.00224268262296913,0.00273564090283363,0.00324071423161093
"231",2020,2,13476,-0.7841346,-0.3556524,-1.164059,-0.6700379,3286.591,0.000148411991688928,0.00189899313862783,0.00261406541464268,0.00212541430881445,0.0019782493182533
"233",2020,19,246280,1.068838,1.318942,-0.0220327,1.368086,53302.99,7.71479616696443e-05,0.000147393147729562,0.00031972572199868,0.000175707181132416,0.000156381843784475
"234",2020,2,1857,-0.3527095,0.2003077,-0.0734304,-0.133932,2235.496,0.00107700592353258,0.00318314410963581,0.00305253833092448,0.00313079633077352,0.003178886095367
