"","Year","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income","protest.ratio","selectedmodelpred","Ridge","Lasso","Mixed"
"156",2018,3,15256,-0.8548902,-0.1576219,-0.648208,-0.6365064,7527.491,0.000196643943366544,0.00109153014748157,0.00198245112189683,0.00139287718819972,0.00119066636467841
"20",2015,11,12771,-0.7660108,0.2092917,-0.7986991,-0.4471673,7625.253,0.000861326442721792,0.000816514358602436,0.00149331665136422,0.00114048469490042,0.000917049146194303
"44",2016,2,3904,1.140084,1.010372,0.4131105,1.129331,11065.91,0.000512295081967213,0.00436819145244633,0.00175696909526384,0.00321304601040556,0.00394502637047751
"121",2017,1,376,-0.5674595,-1.170156,-0.0358612,-0.7814531,407.5622,0.00265957446808511,0.00526000408109639,0.00372606816128165,0.0041652035699537,0.00490390757889325
"87",2016,61,222943,1.373549,1.47634,0.4023029,1.618124,49493.65,0.00027361253773386,0.000225140510646759,0.000317451471039213,0.000242415852482446,0.000230997595862472
"203",2019,39,13681,-1.101318,-1.088863,-1.920183,-0.8980616,1834.163,0.00285066881075945,0.00289028308992447,0.00285213092270035,0.00269781201376515,0.00282961635614007
"194",2019,1,11804,0.2645699,0.4831744,0.4043851,0.3032814,28026.55,8.4717045069468e-05,0.000554600416141159,0.000998892358080642,0.000645751912415192,0.000586840634260786
"40",2016,5,11320,1.816108,1.568043,1.047958,1.755667,39056,0.000441696113074205,0.000682282715304614,0.000544033718115081,0.000604827992710415,0.000656499123358181
"207",2019,2,4570,0.6421292,0.534801,0.5636535,0.4312604,13293.66,0.000437636761487965,0.00230881529075496,0.00193964441660987,0.00210295968866459,0.00224791939802967
"25",2015,20,17366,-0.8108425,-0.667757,-2.482708,-0.766732,1256.6,0.00115167568812622,0.00173939914169527,0.00186452600763672,0.0019209647449581,0.00179767802605233
"119",2017,18,7521,0.7294688,0.5678334,0.5183783,0.4414217,11678.79,0.00239329876346231,0.00232385421173721,0.00180871877061072,0.00214410095057203,0.0022722509427312
"122",2017,64,13943,-0.0263975,0.2908573,-0.2775617,-0.0425192,5495.551,0.00459011690453991,0.0021122853812124,0.00209275603908322,0.00221524296076713,0.00215414177847278
"39",2016,1,7476,-0.2839309,0.1618781,0.2046255,-0.3937469,10798.26,0.000133761369716426,0.00088683131095448,0.00162074628531065,0.00116789684391137,0.000979809149324418
"179",2019,11,521,-0.3385691,-0.4411183,-0.412668,-0.6637715,1073.624,0.0211132437619962,0.00272551770125818,0.0030640865341533,0.00280755140424885,0.00276859052386212
"201",2019,2,3110,1.906103,1.803272,0.8475496,1.77776,43978.41,0.000643086816720257,0.000401575693022644,0.000470350592361997,0.000405256674346575,0.000403153073437085
"134",2018,3,9094,1.805214,1.595232,0.989604,1.715382,43950.43,0.000329887838135034,0.00044798352908172,0.000481090472559444,0.000429600454449418,0.000442556084623313
"24",2015,17,14582,-1.079542,-0.9590327,-1.925443,-0.9616836,2299.911,0.00116582087505143,0.00175070766030237,0.00206382569440311,0.00190387124754416,0.00180542041269777
"160",2018,20,15539,-1.051078,-1.018126,-2.101823,-0.8801294,1645.44,0.00128708411094665,0.00257735732509745,0.0025757291397378,0.00249407720499037,0.00255237374904365
"228",2020,22,8200,0.0640369,0.2993964,-0.2368584,-0.1154166,4550.767,0.00268292682926829,0.00234841756218292,0.00255095226746069,0.00247283708087023,0.00239819450894292
"130",2017,2,2752,-0.5843227,0.0056701,0.2302038,0.0623794,1856.224,0.000726744186046512,0.00515254160906631,0.00311470070240558,0.00416209606426562,0.0048202055718014
"45",2016,22,22130,-0.2539508,0.3545941,-0.499395,-0.3345477,6145.743,0.000994125621328513,0.00104200146951906,0.00168981969418173,0.00139434928707053,0.00115388822888172
"146",2018,1,5203,-0.2497392,0.1805828,-0.5459081,-0.315493,3079.532,0.000192196809532962,0.00187551024628264,0.00230391037556283,0.00215302705347181,0.00197162936888845
"22",2015,2,4370,-0.5780753,-1.053868,-0.9983346,-0.6769011,856.5601,0.00045766590389016,0.00411346375956677,0.00276241789441053,0.0034048911618406,0.00387856830420531
"115",2017,3,5531,1.791991,1.854931,0.9211125,1.801337,40814.19,0.000542397396492497,0.000469835450467396,0.000482647628323504,0.000469520149547806,0.000470232508700389
"104",2017,6,1042,-1.012782,-1.034547,-0.7009969,-1.226821,685.6423,0.00575815738963532,0.00187266395809243,0.00286714821901191,0.0021522183379011,0.00197733839657176
"192",2019,2,6035,1.494599,1.291792,0.9663891,1.383474,43085.8,0.000331400165700083,0.000410290400026597,0.000543078807352868,0.000413414487672308,0.000412651804890584
"189",2019,283,63063,-0.2540472,0.1708809,-0.7708004,-0.0304647,1834.724,0.00448757591614734,0.00346174687038217,0.00271157198611323,0.00322965770142792,0.00338713058054677
"173",2019,4,3217,-1.400733,-1.463065,-2.655531,-1.713714,463.9638,0.00124339446689462,0.00112953827178551,0.00247355628380785,0.00150132730658443,0.00124637287650474
"103",2017,1,19962,1.843528,1.65318,0.5877215,1.614979,37673.76,5.00951808436028e-05,0.000536993398468865,0.000531819874420746,0.000534545734394384,0.000536515501444395
"75",2016,3,7311,-0.4881241,-0.0104617,-1.379819,-0.3550694,3123.559,0.000410340582683627,0.00173219162248414,0.00191491743983235,0.00195701133714359,0.0018069765688998
"13",2015,1,1887,-0.566732,-0.8218005,-0.4689144,-0.9256861,2009.239,0.000529941706412295,0.00203564821954272,0.00245810207763664,0.00219985113934234,0.00210494234991244
"190",2019,3,7186,-0.4160329,0.1820512,-0.4934046,-0.3424213,3292.372,0.000417478430281102,0.00186412469761419,0.00244764558225699,0.00215662122288288,0.00196511544948002
"208",2019,58,11709,0.0729309,0.3676561,-0.2676704,-0.0761623,5423.658,0.00495345460756683,0.00203701090604856,0.00227347267030594,0.00220996462465841,0.00210086135032203
"23",2015,8,3154,1.875101,1.859105,0.9261193,1.942948,37497.22,0.00253646163601776,0.000710584088803652,0.000512263238968071,0.000637524867053181,0.00068556838216973
"216",2020,5,3674,-0.9782742,-0.7878783,-0.9173985,-0.5731802,2032.311,0.00136091453456723,0.0042572172255449,0.00345374657307582,0.00357352823725439,0.00402936297720349
"205",2019,22,17629,-0.8666273,-0.6771356,-2.265187,-0.6674315,1187.632,0.00124794372908276,0.00265052445574167,0.00254468110847526,0.0025943951772514,0.00263012860557399
"169",2018,1,24129,-0.8676912,-0.413667,-1.869737,-0.7160582,2727.716,4.14439056736707e-05,0.00159602642746523,0.00215191187924655,0.00185790448075749,0.00168134814920079
"29",2015,157,11801,0.0252705,0.2915252,-0.2129929,0.0881371,5190.808,0.0133039572917549,0.00246243006214197,0.00196606055349955,0.00241573440016852,0.00245540910243363
"141",2018,8,27317,1.317642,1.458658,0.0291557,1.434449,34902.13,0.00029285792729802,0.000605500765690906,0.000611086312646153,0.000600241396058919,0.000603303779520599
"150",2018,1,5128,1.425326,1.674601,1.049072,1.53421,31069.86,0.000195007800312012,0.000902847841460265,0.00080561640806072,0.000859023731300166,0.000889747680879866
"197",2019,2,1632,-0.7845694,-0.7496988,-0.2801754,-0.3310178,516.6208,0.00122549019607843,0.00728711782123889,0.00401398826035103,0.00519563940615934,0.00653780816815376
"108",2017,1,597,-0.1753761,0.4723314,0.3092474,-0.161473,4539.777,0.0016750418760469,0.00166215430485549,0.00219466393170219,0.00198921457378696,0.00177611264525768
"48",2016,5,140,-0.4499788,-0.5785232,-0.4887168,-0.3686543,2697.501,0.0357142857142857,0.00388604574039759,0.00270351418570978,0.00328578479082727,0.00369095356859345
"206",2019,1,4072,-0.5730505,0.0520084,-0.9151124,-0.4769835,3483.276,0.000245579567779961,0.0015926144303619,0.00230663150858369,0.00191868117294145,0.00170049840851197
"177",2019,112,6472,-0.9934731,-0.7402849,-0.9329753,-0.6363772,1916.022,0.0173053152039555,0.00346881237297669,0.0031558543335958,0.00313230415228343,0.00336559883382982
"149",2018,1,390,-0.1802417,0.5039046,0.432927,-0.2317268,4753.219,0.00256410256410256,0.00149925890390462,0.00228336910524557,0.00188174613239034,0.00162880940828282
"31",2015,5,2621,-1.466719,-1.476073,-2.162183,-1.211051,1183.458,0.00190766882869134,0.00221746534788669,0.00237133533508569,0.00220555826380304,0.00222034536685435
"102",2017,2,24394,1.266991,1.348091,0.2790776,1.436407,32622.01,8.19873739444126e-05,0.000827235238294352,0.000689000850986259,0.000758691014471222,0.00080375268234301
"145",2018,207,56339,-0.1834787,0.2842539,-0.9870132,0.0256504,1742.515,0.0036741866202808,0.00309179293893501,0.0024135932039475,0.00298361435448633,0.00305679056358941
"218",2020,3,11989,1.597707,1.644323,1.109246,1.655119,34808.03,0.000250229376928851,0.000934339629959016,0.000806013660110657,0.000828919548134401,0.000899117864950554
"193",2019,10,25288,0.8063501,1.325325,-0.7933716,1.047764,38005.3,0.000395444479595065,0.000262208241982692,0.000481143634454246,0.000329818116923199,0.000282674620644317
"83",2016,5,6633,2.152424,1.699182,1.017941,1.993451,43645.7,0.000753806723955978,0.00059105976497054,0.000444525659067771,0.000506750908578267,0.00056186210540783
"118",2017,65,18800,-0.779681,-0.596828,-2.406306,-0.7241798,1361.672,0.00345744680851064,0.001911425546592,0.00208805336505752,0.00207410742753092,0.00196341667066064
"90",2016,11,6623,-1.259222,-1.158399,-0.6199379,-1.368501,1257.988,0.00166087875585082,0.0015606931212439,0.00271235561040326,0.0018834209319472,0.00167702594471979
"155",2018,1,2398,0.3161213,1.075026,0.2515688,0.6233432,7796.236,0.000417014178482068,0.00245995689483062,0.00198166424292348,0.00243393177139026,0.00245662386670325
"107",2017,2,12574,0.2109731,0.527819,0.3068212,0.3488251,26826.7,0.000159058374423413,0.000559948809566521,0.000920442316266157,0.000653505492107797,0.000592749220198236
"64",2016,3,797,-0.7565478,-0.7261133,-0.1134786,-0.3754695,255.6196,0.00376411543287327,0.00592870230637354,0.00340747935267238,0.00450931252456785,0.00544163249480181
"161",2018,56,18813,-0.785426,-0.6311114,-2.269401,-0.6735412,1368.338,0.00297666507202466,0.00232652889862343,0.00232461559466092,0.00236817831049726,0.00233944116223873
"60",2016,3,7680,1.524966,1.821532,0.9829442,1.421093,30784.73,0.000390625,0.000575998017282687,0.000655897811474281,0.000644945645597658,0.000599758264864628
"225",2020,26,12976,-0.8403147,-0.5459959,-1.853356,-0.6917597,1100.083,0.00200369913686806,0.00246854903831589,0.00274404686250288,0.00254613106252823,0.0024962530044206
"211",2019,2,1086,-1.169366,-0.5854658,-0.6912174,-0.314339,662.0798,0.00184162062615101,0.00575109405494629,0.00363631171761757,0.00444177653035344,0.00529144408582999
"232",2020,1,938,1.114396,1.325503,0.6264683,0.9169419,33375.8,0.00106609808102345,0.000407454120398238,0.000739537506965944,0.00049860979924915,0.000437451175261221
"229",2020,1,4359,-0.4222212,0.3007005,-0.6245449,0.1213088,5716.334,0.000229410415232852,0.00298326122318095,0.0025100387758859,0.00277177380896057,0.00291455337694647
"26",2015,2,199,-0.9399223,-0.6067827,-0.4221483,-0.8693526,2195.424,0.0100502512562814,0.00173007297580582,0.00237251109735103,0.00199652473828157,0.0018284777559732
"180",2019,1,486,-1.279862,-0.58005,-0.0894939,-0.9357082,1379.913,0.00205761316872428,0.0020732515328932,0.00326442144153895,0.00236839422779937,0.0021855841814913
"143",2018,2,2624,-0.1214553,-0.2085409,-0.0255168,0.0730976,1745.215,0.00076219512195122,0.00685827422804803,0.00334872354516442,0.00495464954150715,0.0061744357182415
"185",2019,2,2096,-0.4061424,-0.6343808,-1.305073,-0.4733813,730.7364,0.000954198473282443,0.00421387557794646,0.00305824967413715,0.00358979922246841,0.00400095468010632
"181",2019,13,12279,1.767164,1.731293,1.016768,1.760273,37844.51,0.00105871813665608,0.000731012052791993,0.00064901808737953,0.000664960120750342,0.000709016005545938
"200",2019,1,2049,-0.2890898,-0.1194802,-0.3398933,-0.1353823,2844.48,0.000488042947779405,0.00398335152268218,0.00297997628324511,0.00346763475943922,0.0038162460303382
"97",2017,1,909,-1.289828,-0.659631,0.091222,-1.053886,1161.816,0.0011001100110011,0.00176208018156401,0.00299080480272436,0.00212241909068143,0.00189356461252157
"176",2019,1,9940,1.825413,1.571555,0.9117457,1.734473,42458.84,0.000100603621730382,0.000560947218635162,0.000545127556776642,0.000511255965277018,0.000544475447848634
"144",2018,2,12021,-0.0252081,0.2907973,0.1659438,0.13928,16528.65,0.000166375509524998,0.00127306723726069,0.00155078363185053,0.00132894881578148,0.00129791135168251
"35",2015,60,134253,1.39741,1.463184,0.6780624,1.595975,49198.88,0.000446917387320954,0.000223879691769448,0.00031528064359108,0.000242839054121235,0.000230542934633028
"135",2018,220,7227,-0.8999589,-0.7402487,-0.9956784,-0.6409807,1629.107,0.030441400304414,0.00331924028509363,0.0029602952077804,0.00303511962896116,0.00323380338937066
"1",2014,3,93,-0.0614517,0.3407953,-0.146389,0.1827036,5721.967,0.032258064516129,0.00250429341886414,0.00185672760435477,0.00240397790151964,0.00247891618201964
"133",2018,8,6197,-0.3475996,-0.0284142,-0.4449081,-0.1494592,3709.675,0.00129094723253187,0.00304379697296933,0.00257708316180995,0.00286115020175775,0.00299164409142658
"78",2016,1,12253,0.2309858,0.2609961,-0.4648285,0.3375647,16724.49,8.16126662858076e-05,0.00148410601809084,0.00130006871351992,0.00140554589168297,0.00146043602235905
"175",2019,2,2161,-0.1782838,-0.0666463,-0.4134244,-0.13098,4026.739,0.000925497454881999,0.00337841176153878,0.00273378387403733,0.00305714225430651,0.00327822127439769
"171",2018,1,3260,-0.4807368,-0.0013799,0.0585088,-0.0036924,2026.25,0.000306748466257669,0.00469547135693384,0.00312377543754751,0.00392788842379281,0.00444251105029298
"28",2015,2,6621,0.0522682,0.1996553,-0.626399,0.1177256,16895.94,0.00030206917384081,0.0010045992293652,0.00114883167814316,0.00108431830610599,0.00103347434792396
"116",2017,2,494,-0.6648608,-0.7034824,-1.265764,-0.6820633,515.6837,0.00404858299595142,0.00297283856915447,0.00270076624908624,0.00285543979198051,0.00294240531615502
"214",2019,1,2166,-0.5156115,0.0383097,0.0254956,-0.0165804,2147.994,0.000461680517082179,0.00454716454206009,0.00323260332574421,0.00387320152144159,0.0043274549996398
"230",2020,4,1530,-0.0680283,-0.2039159,-0.6339517,0.1375134,3357.415,0.00261437908496732,0.00669036665556972,0.00324092327989021,0.00472166165975063,0.00596103184156955
"61",2016,8,5566,-0.8926454,-0.3251143,-1.354791,-0.4406989,1277.228,0.00143729787998563,0.00253278322421917,0.00231728510669468,0.00254719403076113,0.00254231007625952
"46",2016,2,5218,-0.3241391,0.0152157,-0.8824593,-0.2789232,4973.529,0.000383288616328095,0.00176548056401709,0.00191631307393262,0.00193774589839728,0.00182663934384948
"67",2016,2,454,-0.8748634,-0.8631648,-1.094005,-1.051538,335.538,0.00440528634361234,0.00190116856301678,0.00253574165713087,0.00215607625549089,0.00199429987406227
"86",2016,1,2507,-1.05659,-0.5713909,-0.7153227,-0.2512983,554.8666,0.000398883127243718,0.00543147760403999,0.00306197977358824,0.00419192384556985,0.00499630428900494
"99",2017,9,17449,-0.27085,0.4137717,-0.2310181,-0.2667109,6714.582,0.000515788870422374,0.00114027946586852,0.00182583421362253,0.00148349523278717,0.00125148503475505
"71",2016,82,17321,-1.024854,-1.087596,-1.87771,-1.017473,1884.274,0.0047341377518619,0.00203050228618955,0.00230354798108332,0.00211646827972815,0.0020650432809858
"204",2019,1,1879,2.073593,1.861935,1.170565,1.9853,60023.61,0.000532197977647685,0.000144014812092196,0.000252953356458629,0.000158000288086316,0.000148855606975604
"138",2018,3,15862,-0.2679587,0.4792704,-0.3000233,-0.2028825,7378.311,0.000189131257092422,0.00115862388235693,0.00185485958990156,0.00149054118028275,0.00126602522492766
"195",2019,8,2657,-0.7865493,-0.3833902,-1.101751,-0.4542259,1564.272,0.00301091456529921,0.0031309066094199,0.00287646515739856,0.0029756980344713,0.00308548336820512
"49",2016,3,4994,-0.416919,-0.6384845,-1.619813,-0.492503,562.0469,0.000600720865038046,0.00340177135298813,0.002442628256977,0.00305087637218613,0.00328401183444121
"139",2018,2,4603,-0.2857142,-0.0860052,-0.7969317,-0.4062347,5519.415,0.000434499239626331,0.0017158179026838,0.00212889145475107,0.00191337759443338,0.00178592615733346
"56",2016,4,13475,-1.386793,-1.267562,-2.313588,-1.6259,3621.899,0.000296846011131725,0.000723332365361693,0.00182264229745642,0.00106067700613512,0.000825953548172381
"117",2017,55,16155,-1.078973,-1.01082,-1.999155,-0.8708053,1660.264,0.00340451872485299,0.00250353747153102,0.00246864510965054,0.00243673146604227,0.0024852018370451
"50",2016,8,29047,1.370064,1.416434,-0.0953591,1.386726,31128.18,0.000275415705580611,0.000715181086679619,0.000625257176335205,0.000702158970614218,0.000710172213607961
"91",2017,8,4963,-1.515626,-1.325545,-2.801084,-1.562423,486.0025,0.00161192826919202,0.0010957723512435,0.00214977872617734,0.0014486430934646,0.00120577207323738
"219",2020,4,20424,-0.0658865,0.6479592,-0.291068,-0.0595887,7540.217,0.000195848021934978,0.00132716640564687,0.00202027100359776,0.00165076678454653,0.00143254880912825
"196",2019,5,604,-0.8906205,-1.374943,-0.3314337,-0.9952623,355.047,0.00827814569536424,0.00494185168373691,0.00413123036147677,0.00401944234076866,0.00464759923971409
"178",2019,2,1830,-0.0375447,-0.1843532,0.3323891,-0.7943493,5629.656,0.00109289617486339,0.00123971554130896,0.00245143891237535,0.00162101021138005,0.00136868891177921
"142",2018,2,17390,1.936917,1.562705,0.5912753,1.631583,40745.05,0.000115008625646924,0.000498042677841704,0.000509080823522302,0.000482816587246928,0.000493215572906575
"53",2016,2,16652,-0.1016083,0.1577258,-0.1215992,0.1353244,14884.97,0.000120105693009849,0.00146482050662972,0.00148294994446153,0.00145586775080072,0.0014679299934224
"16",2015,13,2696,-1.013617,-0.3015067,-1.244406,-0.4882332,1090.263,0.00482195845697329,0.00223394105336895,0.00220741790107252,0.00235527434157492,0.00227972714925727
"127",2017,1,1444,-1.041349,-0.5780125,-0.5716293,-0.2994136,573.2804,0.000692520775623269,0.00542087473547961,0.00328141386832131,0.00423582196920882,0.00501015824520986
"2",2015,2,4820,-1.342216,-1.323176,-2.571222,-1.504086,516.9467,0.0004149377593361,0.00112536747264498,0.0019856998794947,0.00145777319033894,0.0012309050067677
"132",2018,1,4263,-1.487624,-1.453096,-2.763864,-1.664038,452.4921,0.000234576589256392,0.00113586237167637,0.00232846817991512,0.00149049830166771,0.00124739191087063
"65",2016,5,21090,-0.7194722,0.1316671,-0.6290694,-0.5563735,6902.43,0.000237079184447606,0.000853202974817547,0.00166794158508317,0.00120169341103927,0.000961827880839492
"227",2020,1,437,0.7839146,0.9082767,0.6707044,1.000929,37833.3,0.0022883295194508,0.000526135209559823,0.000737726129313654,0.000529174299104934,0.000529047030367408
"77",2016,2,1059,0.9008223,0.7351737,0.9002346,0.7942954,44756.23,0.00188857412653447,0.0002133854019314,0.000441967962180267,0.000255850495809966,0.000228210630170616
"66",2016,3,5070,-0.1296134,-0.1064113,-0.3125735,-0.1584222,2524.322,0.000591715976331361,0.00334331067533305,0.00248541262331168,0.00305916643144651,0.00325886759978733
"19",2015,1,458,-0.7666516,-0.6664509,0.0318961,-0.3069656,299.8452,0.00218340611353712,0.00601289148080171,0.00327707206067774,0.00453461340496645,0.00550491459154052
"17",2015,1,5039,-0.8838731,-0.4745394,-1.702587,-0.8257188,6204.191,0.000198452073824171,0.000934333443308661,0.00157179845235777,0.00121888110852869,0.00102434417163411
"137",2018,1,4076,1.039679,1.07547,0.4273602,1.091852,12152.17,0.000245338567222767,0.00385066755322121,0.0018430452418507,0.00296251153288243,0.0035302910070059
"168",2018,10,3628,-1.419316,-1.611979,-1.823437,-1.119601,616.4846,0.00275633958103638,0.0038973342964018,0.0032860998944023,0.00325959473855495,0.00368362644708468
"151",2018,1,713,-0.4953896,0.0217261,-0.0452636,-0.4295568,6571.297,0.00140252454417952,0.00149586195034034,0.00221952366181668,0.00176404910803605,0.00159078220082514
"125",2017,3,2652,-1.528241,-1.42955,-1.97747,-1.106437,879.123,0.00113122171945701,0.00292913213107258,0.00283714217253269,0.00269702834793702,0.00285766768702911
"113",2017,1,350,-0.090844,0.1672547,-0.0577443,0.0051818,7162.907,0.00285714285714286,0.00237357665023702,0.00213746288575417,0.0023103501071016,0.00236249809825165
"199",2019,2,13007,-0.8269345,-0.156787,-0.8369034,-0.6580054,7730.323,0.000153763358191743,0.00105655964513015,0.00200892748639748,0.00136336358375229,0.00115604602699656
