"","Year","Country","CountryCode","StudentProtestCount","AllProtestCount","Control of Corruption: Estimate","Government Effectiveness: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate","Political Stability and Absence of Violence/Terrorism: Estimate.1"
"70",2016,"Iceland","IC",2,996,"1.949479","1.385293","1.361624","1.519659"
"71",2016,"India","IN",506,64934,"-0.2821474","0.0749455","-0.9538398","-0.0289695"
"72",2016,"Iraq","IZ",4,13475,"-1.386793","-1.267562","-2.313588","-1.6259"
"73",2016,"Ireland","EI",5,4470,"1.692659","1.364627","0.8478189","1.502176"
"74",2016,"Israel","IS",9,30747,"1.186837","1.345055","-0.7945364","1.072231"
"75",2016,"Italy","IT",3,14115,"0.1159535","0.5785035","0.3694153","0.3939919"
"76",2016,"Japan","JA",3,7680,"1.524966","1.821532","0.9829442","1.421093"
"77",2016,"Kenya","KE",8,5566,"-0.8926454","-0.3251143","-1.354791","-0.4406989"
"78",2016,"Liberia","LI",14,678,"-0.7214805","-1.278961","-0.4374078","-0.9453741"
"79",2016,"Libya","LY",1,3537,"-1.6265","-1.891865","-2.28333","-1.817025"
"80",2016,"Malawi","MI",3,797,"-0.7565478","-0.7261133","-0.1134786","-0.3754695"
"81",2016,"Mexico","MX",5,21090,"-0.7194722","0.1316671","-0.6290694","-0.5563735"
"82",2016,"Morocco","MO",3,5070,"-0.1296134","-0.1064113","-0.3125735","-0.1584222"
"83",2016,"Mozambique","MZ",2,454,"-0.8748634","-0.8631648","-1.094005","-1.051538"
"84",2016,"Myanmar (Burma)","BM",1,2043,NA,NA,NA,NA
"85",2016,"Namibia","WA",1,392,"0.3329011","0.1670501","0.7100897","0.3626263"
"86",2016,"Nepal","NP",1,2591,"-0.7997717","-0.8265509","-0.846812","-0.795664"
"87",2016,"New Zealand","NZ",2,2115,"2.283908","1.842496","1.519183","1.95464"
"88",2016,"Nigeria","NI",82,17321,"-1.024854","-1.087596","-1.87771","-1.017473"
"89",2016,"Pakistan","PK",29,27472,"-0.8753213","-0.6534616","-2.483173","-0.8045743"
"90",2016,"Papua New Guinea","PP",15,576,"-0.9332389","-0.7375593","-0.5047721","-0.7766212"
"91",2016,"Peru","PE",2,4239,"-0.3672633","-0.1788173","-0.2017269","-0.4821758"
"92",2016,"Philippines","RP",3,7311,"-0.4881241","-0.0104617","-1.379819","-0.3550694"
"93",2016,"Poland","PL",2,8189,"0.7813226","0.6533463","0.507242","0.6099276"
"94",2016,"Qatar","QA",2,1059,"0.9008223","0.7351737","0.9002346","0.7942954"
"95",2016,"Russia","RS",3,33517,NA,NA,NA,NA
"96",2016,"Saudi Arabia","SA",1,12253,"0.2309858","0.2609961","-0.4648285","0.3375647"
"97",2016,"Sierra Leone","SL",9,330,"-0.8189905","-1.170724","-0.1599265","-0.7775531"
"98",2016,"South Africa","SF",498,15266,"0.1184792","0.3061665","-0.141504","0.1161583"
"99",2016,"South Korea","KS",1,7353,NA,NA,NA,NA
"100",2016,"Sri Lanka","CE",3,2938,"-0.3106176","-0.0263917","-0.0040295","0.1105179"
"101",2016,"Sudan","SU",5,4114,"-1.525485","-1.515171","-2.337218","-1.258443"
"102",2016,"Sweden","SW",5,6633,"2.152424","1.699182","1.017941","1.993451"
"103",2016,"Switzerland","SZ",5,4670,"1.98834","2.008059","1.30629","1.947713"
"104",2016,"Taiwan","TW",1,2707,NA,NA,NA,NA
"105",2016,"Thailand","TH",2,2459,"-0.3888684","0.3417524","-0.9885814","-0.0049648"
"106",2016,"Trinidad & Tobago","TD",1,587,NA,NA,NA,NA
"107",2016,"Turkey","TU",2,27516,"-0.1914557","0.0482446","-2.009063","-0.2087604"
"108",2016,"Uganda","UG",1,2507,"-1.05659","-0.5713909","-0.7153227","-0.2512983"
"109",2016,"United Kingdom","UK",6,35579,"1.895578","1.609554","0.3604541","1.678407"
"110",2016,"United States","US",61,222943,"1.373549","1.47634","0.4023029","1.618124"
"111",2016,"Vietnam","VM",2,3665,"-0.452351","0.0194756","0.2335919","0.0752823"
"112",2016,"Yemen","YM",3,6586,NA,NA,NA,NA
"113",2016,"Zambia","ZA",2,1082,"-0.401749","-0.6601837","0.142808","-0.3005686"
"114",2016,"Zimbabwe","ZI",11,6623,"-1.259222","-1.158399","-0.6199379","-1.368501"
"115",2017,"Afghanistan","AF",8,4963,"-1.515626","-1.325545","-2.801084","-1.562423"
"116",2017,"Armenia","AM",11,2292,"-0.5633132","-0.1026952","-0.6207712","-0.1606279"
"117",2017,"Australia","AS",1,10215,"1.798351","1.538219","0.8960608","1.686461"
"118",2017,"Bangladesh","BG",29,5972,"-0.8317032","-0.7350984","-1.256081","-0.6718881"
"119",2017,"Belarus","BO",1,4205,"-0.2574071","-0.3413015","-0.0534834","-0.8187015"
"120",2017,"Belgium","BE",6,5183,"1.447792","1.278846","0.4281858","1.358459"
"121",2017,"Cambodia","CB",1,909,"-1.289828","-0.659631","0.091222","-1.053886"
"122",2017,"Chile","CI",1,4223,"1.106465","0.9961624","0.4171355","1.149239"
"123",2017,"China","CH",9,17449,"-0.27085","0.4137717","-0.2310181","-0.2667109"
"124",2017,"Côte d’Ivoire","IV",8,1153,NA,NA,NA,NA
"125",2017,"Denmark","DA",1,1317,"2.23999","1.787519","0.8684149","1.847278"
"126",2017,"Ethiopia","ET",2,1505,"-0.5587956","-0.6928545","-1.679859","-0.4559003"
"127",2017,"France","FR",2,24394,"1.266991","1.348091","0.2790776","1.436407"
"128",2017,"Gambia","GA",3,849,NA,NA,NA,NA
"129",2017,"Germany","GM",1,19962,"1.843528","1.65318","0.5877215","1.614979"
"130",2017,"Guinea","GV",6,1042,"-1.012782","-1.034547","-0.7009969","-1.226821"
"131",2017,"Hong Kong SAR China","HK",2,1589,NA,NA,NA,NA
"132",2017,"India","IN",231,55092,"-0.2419506","0.0868715","-0.7648019","-0.0012233"
"133",2017,"Iran","IR",4,14031,NA,NA,NA,NA
"134",2017,"Ireland","EI",1,5135,"1.573725","1.306135","1.002435","1.418789"
"135",2017,"Italy","IT",2,12574,"0.2109731","0.527819","0.3068212","0.3488251"
"136",2017,"Jamaica","JM",1,597,"-0.1753761","0.4723314","0.3092474","-0.161473"
"137",2017,"Liberia","LI",1,461,"-0.6652668","-1.334823","-0.333085","-0.949563"
"138",2017,"Malawi","MI",2,638,"-0.6589844","-0.6580487","-0.251164","-0.3730442"
"139",2017,"Malaysia","MY",2,2818,"0.0590311","0.8348417","0.1164103","0.4976971"
"140",2017,"Mexico","MX",2,20455,"-0.8388868","0.0510241","-0.7974465","-0.5586059"
"141",2017,"Montenegro","MJ",1,350,"-0.090844","0.1672547","-0.0577443","0.0051818"
"142",2017,"Morocco","MO",1,5330,"-0.1428196","-0.1932489","-0.3739875","-0.1665348"
"143",2017,"Myanmar (Burma)","BM",2,1925,NA,NA,NA,NA
"144",2017,"Netherlands","NL",3,5531,"1.791991","1.854931","0.9211125","1.801337"
"145",2017,"Niger","NG",2,494,"-0.6648608","-0.7034824","-1.265764","-0.6820633"
"146",2017,"Nigeria","NI",55,16155,"-1.078973","-1.01082","-1.999155","-0.8708053"
"147",2017,"Pakistan","PK",65,18800,"-0.779681","-0.596828","-2.406306","-0.7241798"
"148",2017,"Poland","PL",18,7521,"0.7294688","0.5678334","0.5183783","0.4414217"
"149",2017,"Russia","RS",5,37794,NA,NA,NA,NA
"150",2017,"Rwanda","RW",1,578,"0.6268088","0.2621303","0.0880958","0.1211631"
"151",2017,"Sierra Leone","SL",1,376,"-0.5674595","-1.170156","-0.0358612","-0.7814531"
"152",2017,"Slovakia","LO",2,868,NA,NA,NA,NA
"153",2017,"South Africa","SF",64,13943,"-0.0263975","0.2908573","-0.2775617","-0.0425192"
"154",2017,"Spain","SP",1,21587,"0.5475208","1.038661","0.2828842","1.059366"
"155",2017,"Sri Lanka","CE",6,2900,"-0.4532179","-0.1512185","-0.0711655","0.0484503"
"156",2017,"Sudan","SU",3,2652,"-1.528241","-1.42955","-1.97747","-1.106437"
"157",2017,"Syria","SY",2,14263,NA,NA,NA,NA
"158",2017,"Tunisia","TS",1,3185,"-0.1285137","-0.0985326","-1.024682","0.0586774"
"159",2017,"Turkey","TU",1,22199,"-0.1944939","0.0732635","-1.788514","-0.2548287"
"160",2017,"Uganda","UG",1,1444,"-1.041349","-0.5780125","-0.5716293","-0.2994136"
"161",2017,"Ukraine","UP",1,23382,"-0.7848897","-0.4571084","-1.870538","-0.7120072"
"162",2017,"United Kingdom","UK",4,33002,"1.860195","1.469662","0.3861579","1.686237"
"163",2017,"United States","US",64,201579,"1.384251","1.557018","0.2918175","1.649322"
"164",2017,"Venezuela","VE",9,31207,NA,NA,NA,NA
"165",2017,"Vietnam","VM",2,2752,"-0.5843227","0.0056701","0.2302038","0.0623794"
"166",2017,"Zimbabwe","ZI",3,3801,"-1.271278","-1.182262","-0.7087693","-1.373646"
"167",2017,NA,"OD",2,627,NA,NA,NA,NA
"168",2018,"Afghanistan","AF",1,4263,"-1.487624","-1.453096","-2.763864","-1.664038"
"169",2018,"Armenia","AM",8,6197,"-0.3475996","-0.0284142","-0.4449081","-0.1494592"
