"","Year","Country","X","CountryCode","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income"
"259",2019,"Poland",259,"PL",2,4570,0.6421292,0.534801,0.5636535,0.4312604,"13293.66"
"260",2019,"South Africa",260,"SF",58,11709,0.0729309,0.3676561,-0.2676704,-0.0761623,"5423.658"
"261",2019,"South Korea",261,"KS",1,4089,NA,NA,NA,NA,NA
"262",2019,"Sri Lanka",262,"CE",3,2369,-0.2891587,-0.1143393,-0.2176228,-0.0118801,"3460.533"
"263",2019,"Sudan",263,"SU",8,16528,-1.365432,-1.622059,-1.701787,-1.140721,"520.1662"
"264",2019,"Uganda",264,"UG",2,1086,-1.169366,-0.5854658,-0.6912174,-0.314339,"662.0798"
"265",2019,"Ukraine",265,"UP",1,18805,-0.7559236,-0.297047,-1.423576,-0.6982756,"3238.332"
"266",2019,"United Kingdom",266,"UK",11,39169,1.785975,1.482738,0.5397319,1.606702,NA
"267",2019,"United States",267,"US",37,145670,1.215634,1.488845,0.1349753,1.46136,"55401.59"
"268",2019,"Vietnam",268,"VM",1,2166,-0.5156115,0.0383097,0.0254956,-0.0165804,"2147.994"
"269",2020,"Afghanistan",269,"AF",1,2426,-1.475405,-1.523115,-2.729808,-1.807697,"475.7459"
"270",2020,"Bangladesh",270,"BG",5,3674,-0.9782742,-0.7878783,-0.9173985,-0.5731802,"2032.311"
"271",2020,"Belarus",271,"BO",4,15867,-0.1682376,-0.7293182,-0.7303549,-0.9959167,"5148.214"
"272",2020,"Canada",272,"CA",3,11989,1.597707,1.644323,1.109246,1.655119,"34808.03"
"273",2020,"China",273,"CH",4,20424,-0.0658865,0.6479592,-0.291068,-0.0595887,"7540.217"
"274",2020,"Hong Kong SAR China",274,"HK",3,5880,NA,NA,NA,NA,NA
"275",2020,"India",275,"IN",185,50935,-0.2448308,0.3865438,-0.8619818,-0.0177096,"1681.879"
"276",2020,"Iran",276,"IR",4,12945,NA,NA,NA,NA,NA
"277",2020,"Iraq",277,"IZ",3,9488,-1.283775,-1.32672,-2.528343,-1.753684,"3222.077"
"278",2020,"Ireland",278,"EI",1,3095,1.566898,1.480219,0.9751874,1.498885,"41458.79"
"279",2020,"Mexico",279,"MX",3,10851,-0.8476247,-0.1550609,-0.8500293,-0.670108,"6267.608"
"280",2020,"Myanmar (Burma)",280,"BM",11,410,NA,NA,NA,NA,NA
"281",2020,"Nigeria",281,"NI",6,15934,-1.09688,-1.029475,-1.859349,-0.8124883,"1730.381"
"282",2020,"Pakistan",282,"PK",26,12976,-0.8403147,-0.5459959,-1.853356,-0.6917597,"1100.083"
"283",2020,"Poland",283,"PL",1,5657,0.6507944,0.3764992,0.5743839,0.5398862,"13298.48"
"284",2020,"Qatar",284,"QA",1,437,0.7839146,0.9082767,0.6707044,1.000929,"37833.3"
"285",2020,"Slovakia",285,"LO",1,553,NA,NA,NA,NA,NA
"286",2020,"South Africa",286,"SF",22,8200,0.0640369,0.2993964,-0.2368584,-0.1154166,"4550.767"
"287",2020,"South Korea",287,"KS",1,2729,NA,NA,NA,NA,NA
"288",2020,"Thailand",288,"TH",1,4359,-0.4222212,0.3007005,-0.6245449,0.1213088,"5716.334"
"289",2020,"Tunisia",289,"TS",4,1530,-0.0680283,-0.2039159,-0.6339517,0.1375134,"3357.415"
"290",2020,"Ukraine",290,"UP",2,13476,-0.7841346,-0.3556524,-1.164059,-0.6700379,"3286.591"
"291",2020,"United Arab Emirates",291,"AE",1,938,1.114396,1.325503,0.6264683,0.9169419,"33375.8"
"292",2020,"United Kingdom",292,"UK",8,27534,1.692274,1.376632,0.4743571,1.496935,NA
"293",2020,"United States",293,"US",19,246280,1.068838,1.318942,-0.0220327,1.368086,"53302.99"
"294",2020,"Vietnam",294,"VM",2,1857,-0.3527095,0.2003077,-0.0734304,-0.133932,"2235.496"
