"","Year","Country","X","CountryCode","StudentProtestCount","AllProtestCount","Control.of.Corruption..Estimate","Government.Effectiveness..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate","Political.Stability.and.Absence.of.Violence.Terrorism..Estimate.1","income"
"52",2016,"Australia",52,"AS",5,11320,1.816108,1.568043,1.047958,1.755667,"39056"
"53",2016,"Bangladesh",53,"BG",13,7697,-0.8569472,-0.678781,-1.261937,-0.6636689,"1359.057"
"54",2016,"Belgium",54,"BE",4,6812,1.574584,1.433041,0.4413673,1.429943,"34479.34"
"55",2016,"Benin",55,"BN",4,504,-0.5133145,-0.5643299,-0.0020272,-0.6087622,"968.5366"
"56",2016,"Chile",56,"CI",2,3904,1.140084,1.010372,0.4131105,1.129331,"11065.91"
"57",2016,"China",57,"CH",22,22130,-0.2539508,0.3545941,-0.499395,-0.3345477,"6145.743"
"58",2016,"Colombia",58,"CO",2,5218,-0.3241391,0.0152157,-0.8824593,-0.2789232,"4973.529"
"59",2016,"Côte d’Ivoire",59,"IV",2,999,NA,NA,NA,NA,NA
"60",2016,"Croatia",60,"HR",1,1690,0.21198,0.5035605,0.6637695,0.3843882,"10207.58"
"61",2016,"Cuba",61,"CU",3,4435,0.1692236,-0.1051888,0.6853639,-0.4425099,NA
"62",2016,"Egypt",62,"EG",3,20282,NA,NA,NA,NA,NA
"63",2016,"Eswatini",63,"WZ",5,140,-0.4499788,-0.5785232,-0.4887168,-0.3686543,"2697.501"
"64",2016,"Ethiopia",64,"ET",3,4994,-0.416919,-0.6384845,-1.619813,-0.492503,"562.0469"
"65",2016,"France",65,"FR",8,29047,1.370064,1.416434,-0.0953591,1.386726,"31128.18"
"66",2016,"Georgia",66,"GG",3,754,0.6854092,0.5179425,-0.3132915,0.3836238,"3259.553"
"67",2016,"Ghana",67,"GH",5,2591,-0.1489119,-0.1685113,-0.1309286,0.0487039,"1541.678"
"68",2016,"Greece",68,"GR",2,16652,-0.1016083,0.1577258,-0.1215992,0.1353244,"14884.97"
"69",2016,"Hong Kong SAR China",69,"HK",2,2300,NA,NA,NA,NA,NA
"70",2016,"Iceland",70,"IC",2,996,1.949479,1.385293,1.361624,1.519659,"49904.75"
"71",2016,"India",71,"IN",506,64934,-0.2821474,0.0749455,-0.9538398,-0.0289695,"1505.454"
"72",2016,"Iraq",72,"IZ",4,13475,-1.386793,-1.267562,-2.313588,-1.6259,"3621.899"
"73",2016,"Ireland",73,"EI",5,4470,1.692659,1.364627,0.8478189,1.502176,"36254.02"
"74",2016,"Israel",74,"IS",9,30747,1.186837,1.345055,-0.7945364,1.072231,"32061.78"
"75",2016,"Italy",75,"IT",3,14115,0.1159535,0.5785035,0.3694153,0.3939919,"25499.98"
"76",2016,"Japan",76,"JA",3,7680,1.524966,1.821532,0.9829442,1.421093,"30784.73"
"77",2016,"Kenya",77,"KE",8,5566,-0.8926454,-0.3251143,-1.354791,-0.4406989,"1277.228"
"78",2016,"Liberia",78,"LI",14,678,-0.7214805,-1.278961,-0.4374078,-0.9453741,"379.5684"
"79",2016,"Libya",79,"LY",1,3537,-1.6265,-1.891865,-2.28333,-1.817025,"3736.815"
"80",2016,"Malawi",80,"MI",3,797,-0.7565478,-0.7261133,-0.1134786,-0.3754695,"255.6196"
"81",2016,"Mexico",81,"MX",5,21090,-0.7194722,0.1316671,-0.6290694,-0.5563735,"6902.43"
"82",2016,"Morocco",82,"MO",3,5070,-0.1296134,-0.1064113,-0.3125735,-0.1584222,"2524.322"
"83",2016,"Mozambique",83,"MZ",2,454,-0.8748634,-0.8631648,-1.094005,-1.051538,"335.538"
"84",2016,"Myanmar (Burma)",84,"BM",1,2043,NA,NA,NA,NA,NA
"85",2016,"Namibia",85,"WA",1,392,0.3329011,0.1670501,0.7100897,0.3626263,"3855.738"
"86",2016,"Nepal",86,"NP",1,2591,-0.7997717,-0.8265509,-0.846812,-0.795664,"845.4549"
"87",2016,"New Zealand",87,"NZ",2,2115,2.283908,1.842496,1.519183,1.95464,"33092.21"
"88",2016,"Nigeria",88,"NI",82,17321,-1.024854,-1.087596,-1.87771,-1.017473,"1884.274"
"89",2016,"Pakistan",89,"PK",29,27472,-0.8753213,-0.6534616,-2.483173,-0.8045743,"1266.013"
"90",2016,"Papua New Guinea",90,"PP",15,576,-0.9332389,-0.7375593,-0.5047721,-0.7766212,"2074.527"
"91",2016,"Peru",91,"PE",2,4239,-0.3672633,-0.1788173,-0.2017269,-0.4821758,"5244.772"
"92",2016,"Philippines",92,"RP",3,7311,-0.4881241,-0.0104617,-1.379819,-0.3550694,"3123.559"
"93",2016,"Poland",93,"PL",2,8189,0.7813226,0.6533463,0.507242,0.6099276,"10463.5"
"94",2016,"Qatar",94,"QA",2,1059,0.9008223,0.7351737,0.9002346,0.7942954,"44756.23"
"95",2016,"Russia",95,"RS",3,33517,NA,NA,NA,NA,NA
"96",2016,"Saudi Arabia",96,"SA",1,12253,0.2309858,0.2609961,-0.4648285,0.3375647,"16724.49"
"97",2016,"Sierra Leone",97,"SL",9,330,-0.8189905,-1.170724,-0.1599265,-0.7775531,"367.0428"
"98",2016,"South Africa",98,"SF",498,15266,0.1184792,0.3061665,-0.141504,0.1161583,"4705.765"
"99",2016,"South Korea",99,"KS",1,7353,NA,NA,NA,NA,NA
"100",2016,"Sri Lanka",100,"CE",3,2938,-0.3106176,-0.0263917,-0.0040295,0.1105179,"3511.296"
"101",2016,"Sudan",101,"SU",5,4114,-1.525485,-1.515171,-2.337218,-1.258443,"950.3749"
"102",2016,"Sweden",102,"SW",5,6633,2.152424,1.699182,1.017941,1.993451,"43645.7"
"103",2016,"Switzerland",103,"SZ",5,4670,1.98834,2.008059,1.30629,1.947713,"64490.41"
"104",2016,"Taiwan",104,"TW",1,2707,NA,NA,NA,NA,NA
"105",2016,"Thailand",105,"TH",2,2459,-0.3888684,0.3417524,-0.9885814,-0.0049648,"4629.461"
"106",2016,"Trinidad & Tobago",106,"TD",1,587,NA,NA,NA,NA,NA
"107",2016,"Turkey",107,"TU",2,27516,-0.1914557,0.0482446,-2.009063,-0.2087604,NA
"108",2016,"Uganda",108,"UG",1,2507,-1.05659,-0.5713909,-0.7153227,-0.2512983,"554.8666"
"109",2016,"United Kingdom",109,"UK",6,35579,1.895578,1.609554,0.3604541,1.678407,NA
"110",2016,"United States",110,"US",61,222943,1.373549,1.47634,0.4023029,1.618124,"49493.65"
"111",2016,"Vietnam",111,"VM",2,3665,-0.452351,0.0194756,0.2335919,0.0752823,"1725.75"
"112",2016,"Yemen",112,"YM",3,6586,NA,NA,NA,NA,NA
"113",2016,"Zambia",113,"ZA",2,1082,-0.401749,-0.6601837,0.142808,-0.3005686,"1017.512"
"114",2016,"Zimbabwe",114,"ZI",11,6623,-1.259222,-1.158399,-0.6199379,-1.368501,"1257.988"
"115",2017,"Afghanistan",115,"AF",8,4963,-1.515626,-1.325545,-2.801084,-1.562423,"486.0025"
"116",2017,"Armenia",116,"AM",11,2292,-0.5633132,-0.1026952,-0.6207712,-0.1606279,"3514.683"
"117",2017,"Australia",117,"AS",1,10215,1.798351,1.538219,0.8960608,1.686461,"41988.7"
"118",2017,"Bangladesh",118,"BG",29,5972,-0.8317032,-0.7350984,-1.256081,-0.6718881,"1490.43"
"119",2017,"Belarus",119,"BO",1,4205,-0.2574071,-0.3413015,-0.0534834,-0.8187015,"4752.093"
"120",2017,"Belgium",120,"BE",6,5183,1.447792,1.278846,0.4281858,1.358459,"36236.86"
"121",2017,"Cambodia",121,"CB",1,909,-1.289828,-0.659631,0.091222,-1.053886,"1161.816"
"122",2017,"Chile",122,"CI",1,4223,1.106465,0.9961624,0.4171355,1.149239,"11759.33"
"123",2017,"China",123,"CH",9,17449,-0.27085,0.4137717,-0.2310181,-0.2667109,"6714.582"
"124",2017,"Côte d’Ivoire",124,"IV",8,1153,NA,NA,NA,NA,NA
"125",2017,"Denmark",125,"DA",1,1317,2.23999,1.787519,0.8684149,1.847278,"49141.54"
"126",2017,"Ethiopia",126,"ET",2,1505,-0.5587956,-0.6928545,-1.679859,-0.4559003,"612.8764"
"127",2017,"France",127,"FR",2,24394,1.266991,1.348091,0.2790776,1.436407,"32622.01"
"128",2017,"Gambia",128,"GA",3,849,NA,NA,NA,NA,NA
"129",2017,"Germany",129,"GM",1,19962,1.843528,1.65318,0.5877215,1.614979,"37673.76"
"130",2017,"Guinea",130,"GV",6,1042,-1.012782,-1.034547,-0.7009969,-1.226821,"685.6423"
"131",2017,"Hong Kong SAR China",131,"HK",2,1589,NA,NA,NA,NA,NA
"132",2017,"India",132,"IN",231,55092,-0.2419506,0.0868715,-0.7648019,-0.0012233,"1733.802"
"133",2017,"Iran",133,"IR",4,14031,NA,NA,NA,NA,NA
"134",2017,"Ireland",134,"EI",1,5135,1.573725,1.306135,1.002435,1.418789,"38274.42"
"135",2017,"Italy",135,"IT",2,12574,0.2109731,0.527819,0.3068212,0.3488251,"26826.7"
"136",2017,"Jamaica",136,"JM",1,597,-0.1753761,0.4723314,0.3092474,-0.161473,"4539.777"
"137",2017,"Liberia",137,"LI",1,461,-0.6652668,-1.334823,-0.333085,-0.949563,"359.1917"
"138",2017,"Malawi",138,"MI",2,638,-0.6589844,-0.6580487,-0.251164,-0.3730442,"425.8584"
"139",2017,"Malaysia",139,"MY",2,2818,0.0590311,0.8348417,0.1164103,0.4976971,"7220.784"
"140",2017,"Mexico",140,"MX",2,20455,-0.8388868,0.0510241,-0.7974465,-0.5586059,"7289.786"
"141",2017,"Montenegro",141,"MJ",1,350,-0.090844,0.1672547,-0.0577443,0.0051818,"7162.907"
"142",2017,"Morocco",142,"MO",1,5330,-0.1428196,-0.1932489,-0.3739875,-0.1665348,"2663.706"
"143",2017,"Myanmar (Burma)",143,"BM",2,1925,NA,NA,NA,NA,NA
"144",2017,"Netherlands",144,"NL",3,5531,1.791991,1.854931,0.9211125,1.801337,"40814.19"
"145",2017,"Niger",145,"NG",2,494,-0.6648608,-0.7034824,-1.265764,-0.6820633,"515.6837"
"146",2017,"Nigeria",146,"NI",55,16155,-1.078973,-1.01082,-1.999155,-0.8708053,"1660.264"
"147",2017,"Pakistan",147,"PK",65,18800,-0.779681,-0.596828,-2.406306,-0.7241798,"1361.672"
"148",2017,"Poland",148,"PL",18,7521,0.7294688,0.5678334,0.5183783,0.4414217,"11678.79"
"149",2017,"Russia",149,"RS",5,37794,NA,NA,NA,NA,NA
"150",2017,"Rwanda",150,"RW",1,578,0.6268088,0.2621303,0.0880958,0.1211631,"609.8843"
"151",2017,"Sierra Leone",151,"SL",1,376,-0.5674595,-1.170156,-0.0358612,-0.7814531,"407.5622"
"152",2017,"Slovakia",152,"LO",2,868,NA,NA,NA,NA,NA
"153",2017,"South Africa",153,"SF",64,13943,-0.0263975,0.2908573,-0.2775617,-0.0425192,"5495.551"
"154",2017,"Spain",154,"SP",1,21587,0.5475208,1.038661,0.2828842,1.059366,"23801.74"
"155",2017,"Sri Lanka",155,"CE",6,2900,-0.4532179,-0.1512185,-0.0711655,0.0484503,"3669.092"
"156",2017,"Sudan",156,"SU",3,2652,-1.528241,-1.42955,-1.97747,-1.106437,"879.123"
"157",2017,"Syria",157,"SY",2,14263,NA,NA,NA,NA,NA
"158",2017,"Tunisia",158,"TS",1,3185,-0.1285137,-0.0985326,-1.024682,0.0586774,"3406.674"
"159",2017,"Turkey",159,"TU",1,22199,-0.1944939,0.0732635,-1.788514,-0.2548287,NA
"160",2017,"Uganda",160,"UG",1,1444,-1.041349,-0.5780125,-0.5716293,-0.2994136,"573.2804"
"161",2017,"Ukraine",161,"UP",1,23382,-0.7848897,-0.4571084,-1.870538,-0.7120072,"2351.392"
"162",2017,"United Kingdom",162,"UK",4,33002,1.860195,1.469662,0.3861579,1.686237,NA
"163",2017,"United States",163,"US",64,201579,1.384251,1.557018,0.2918175,1.649322,"51488.34"
"164",2017,"Venezuela",164,"VE",9,31207,NA,NA,NA,NA,NA
"165",2017,"Vietnam",165,"VM",2,2752,-0.5843227,0.0056701,0.2302038,0.0623794,"1856.224"
"166",2017,"Zimbabwe",166,"ZI",3,3801,-1.271278,-1.182262,-0.7087693,-1.373646,"1050.11"
"167",2017,NA,167,"OD",2,627,NA,NA,NA,NA,NA
"168",2018,"Afghanistan",168,"AF",1,4263,-1.487624,-1.453096,-2.763864,-1.664038,"452.4921"
"169",2018,"Armenia",169,"AM",8,6197,-0.3475996,-0.0284142,-0.4449081,-0.1494592,"3709.675"
"170",2018,"Australia",170,"AS",3,9094,1.805214,1.595232,0.989604,1.715382,"43950.43"
"171",2018,"Bahamas",171,"BF",1,283,NA,NA,NA,NA,NA
"172",2018,"Bangladesh",172,"BG",220,7227,-0.8999589,-0.7402487,-0.9956784,-0.6409807,"1629.107"
"173",2018,"Canada",173,"CA",2,12408,1.827885,1.714916,0.9791259,1.756561,"37636.5"
"174",2018,"Chile",174,"CI",1,4076,1.039679,1.07547,0.4273602,1.091852,"12152.17"
"175",2018,"China",175,"CH",3,15862,-0.2679587,0.4792704,-0.3000233,-0.2028825,"7378.311"
"176",2018,"Colombia",176,"CO",2,4603,-0.2857142,-0.0860052,-0.7969317,-0.4062347,"5519.415"
"177",2018,"Czechia",177,"EZ",3,3007,NA,NA,NA,NA,NA
"178",2018,"Ethiopia",178,"ET",2,2465,-0.4833753,-0.6104851,-1.279617,-0.428142,"649.8547"
"179",2018,"France",179,"FR",8,27317,1.317642,1.458658,0.0291557,1.434449,"34902.13"
"180",2018,"Germany",180,"GM",2,17390,1.936917,1.562705,0.5912753,1.631583,"40745.05"
"181",2018,"Ghana",181,"GH",2,2624,-0.1214553,-0.2085409,-0.0255168,0.0730976,"1745.215"
"182",2018,"Greece",182,"GR",2,12021,-0.0252081,0.2907973,0.1659438,0.13928,"16528.65"
"183",2018,"India",183,"IN",207,56339,-0.1834787,0.2842539,-0.9870132,0.0256504,"1742.515"
"184",2018,"Indonesia",184,"ID",1,5203,-0.2497392,0.1805828,-0.5459081,-0.315493,"3079.532"
"185",2018,"Ireland",185,"EI",2,4974,1.571588,1.416743,1.021112,1.450442,"42179.3"
"186",2018,"Italy",186,"IT",1,13226,0.2476841,0.4415723,0.3423838,0.2688292,"28814.12"
"187",2018,"Jamaica",187,"JM",1,390,-0.1802417,0.5039046,0.432927,-0.2317268,"4753.219"
"188",2018,"Japan",188,"JA",1,5128,1.425326,1.674601,1.049072,1.53421,"31069.86"
"189",2018,"Kazakhstan",189,"KZ",1,713,-0.4953896,0.0217261,-0.0452636,-0.4295568,"6571.297"
"190",2018,"Kenya",190,"KE",6,3250,-0.8510734,-0.4115029,-1.184091,-0.411006,"1478.424"
"191",2018,"Kuwait",191,"KU",1,908,-0.2882378,-0.0900602,0.1015981,0.210846,NA
"192",2018,"Liberia",192,"LI",1,460,-0.849687,-1.33557,-0.2117113,-0.9896947,"398.2174"
"193",2018,"Malawi",193,"MI",1,777,-0.7400823,-0.7272929,-0.4323802,-0.3782848,"466.4554"
"194",2018,"Malaysia",194,"MY",1,2398,0.3161213,1.075026,0.2515688,0.6233432,"7796.236"
"195",2018,"Mexico",195,"MX",3,15256,-0.8548902,-0.1576219,-0.648208,-0.6365064,"7527.491"
"196",2018,"Myanmar (Burma)",196,"BM",2,1243,NA,NA,NA,NA,NA
"197",2018,"Nepal",197,"NP",4,1640,-0.6708352,-0.8982426,-0.5617288,-0.4775418,"1109.422"
"198",2018,"Netherlands",198,"NL",3,3316,1.927847,1.850402,0.8542672,1.786829,"44714.3"
"199",2018,"Nicaragua",199,"NU",8,12634,-1.08738,-0.8029793,-0.9523925,-1.057517,"1727.631"
"200",2018,"Nigeria",200,"NI",20,15539,-1.051078,-1.018126,-2.101823,-0.8801294,"1645.44"
"201",2018,"Pakistan",201,"PK",56,18813,-0.785426,-0.6311114,-2.269401,-0.6735412,"1368.338"
"202",2018,"Philippines",202,"RP",10,4515,-0.5422267,0.0531931,-1.092062,-0.4749934,"3283.595"
"203",2018,"Poland",203,"PL",8,6036,0.6541066,0.5629848,0.4925416,0.4204909,"13029.71"
"204",2018,"Qatar",204,"QA",2,1099,0.7255781,0.6294053,0.6635707,0.7347725,"49682.17"
"205",2018,"Russia",205,"RS",2,36312,NA,NA,NA,NA,NA
"206",2018,"Sierra Leone",206,"SL",1,450,-0.4900537,-1.143427,-0.0852979,-0.7672427,"435.4164"
"207",2018,"South Africa",207,"SF",20,11008,-0.0258746,0.3326285,-0.2277793,-0.1022561,"5742.958"
"208",2018,"Sri Lanka",208,"CE",3,2723,-0.3320415,-0.232434,-0.1452709,0.0257045,"3656.207"
"209",2018,"Sudan",209,"SU",10,3628,-1.419316,-1.611979,-1.823437,-1.119601,"616.4846"
"210",2018,"Syria",210,"SY",2,13611,NA,NA,NA,NA,NA
"211",2018,"Turkey",211,"TU",1,15655,-0.3298205,0.0062523,-1.318893,-0.3175219,NA
"212",2018,"Ukraine",212,"UP",1,24129,-0.8676912,-0.413667,-1.869737,-0.7160582,"2727.716"
"213",2018,"United Kingdom",213,"UK",5,30574,1.844666,1.398906,0.0797425,1.642386,NA
"214",2018,"United States",214,"US",50,170191,1.328869,1.575724,0.4214178,1.514515,"53665.7"
"215",2018,"Venezuela",215,"VE",1,10712,NA,NA,NA,NA,NA
"216",2018,"Vietnam",216,"VM",1,3260,-0.4807368,-0.0013799,0.0585088,-0.0036924,"2026.25"
"217",2018,"Zimbabwe",217,"ZI",1,3141,-1.230871,-1.19821,-0.7227737,-1.272543,"1063.107"
"218",2018,NA,218,"OD",9,397,NA,NA,NA,NA,NA
"219",2019,"Afghanistan",219,"AF",4,3217,-1.400733,-1.463065,-2.655531,-1.713714,"463.9638"
"220",2019,"Algeria",220,"AG",1,10221,-0.6211485,-0.5163999,-1.044343,-0.8157083,"3151.925"
"221",2019,"Armenia",221,"AM",2,2161,-0.1782838,-0.0666463,-0.4134244,-0.13098,"4026.739"
"222",2019,"Australia",222,"AS",1,9940,1.825413,1.571555,0.9117457,1.734473,"42458.84"
"223",2019,"Bangladesh",223,"BG",112,6472,-0.9934731,-0.7402849,-0.9329753,-0.6363772,"1916.022"
"224",2019,"Belarus",224,"BO",2,1830,-0.0375447,-0.1843532,0.3323891,-0.7943493,"5629.656"
"225",2019,"Benin",225,"BN",11,521,-0.3385691,-0.4411183,-0.412668,-0.6637715,"1073.624"
"226",2019,"Cambodia",226,"CB",1,486,-1.279862,-0.58005,-0.0894939,-0.9357082,"1379.913"
"227",2019,"Canada",227,"CA",13,12279,1.767164,1.731293,1.016768,1.760273,"37844.51"
"228",2019,"China",228,"CH",21,28521,-0.2951186,0.5170006,-0.2566892,-0.2746037,"7551.083"
"229",2019,"Colombia",229,"CO",1,6581,-0.2363339,0.0707119,-0.9495016,-0.4168378,"5298.032"
"230",2019,"Czechia",230,"EZ",1,3063,NA,NA,NA,NA,NA
"231",2019,"Eswatini",231,"WZ",1,118,-0.4902496,-0.6789486,-0.2745529,-0.5019525,"2941.297"
"232",2019,"Ethiopia",232,"ET",2,2096,-0.4061424,-0.6343808,-1.305073,-0.4733813,"730.7364"
"233",2019,"Finland",233,"FI",1,896,2.1532,2.006594,0.8516567,2.058016,"39680.48"
"234",2019,"Gambia",234,"GA",2,494,NA,NA,NA,NA,NA
"235",2019,"Germany",235,"GM",4,13525,1.903284,1.531162,0.5743086,1.620687,"39618.28"
"236",2019,"Ghana",236,"GH",3,2166,-0.0980888,-0.2106433,0.1344119,0.0473358,"1776.259"
"237",2019,"Hong Kong SAR China",237,"HK",13,19347,NA,NA,NA,NA,NA
"238",2019,"India",238,"IN",283,63063,-0.2540472,0.1708809,-0.7708004,-0.0304647,"1834.724"
"239",2019,"Indonesia",239,"ID",3,7186,-0.4160329,0.1820512,-0.4934046,-0.3424213,"3292.372"
"240",2019,"Iran",240,"IR",6,14808,NA,NA,NA,NA,NA
